	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
Ucn2	0	0	0	0	0	0	0	0
Ucn3	1	3	0	2	1	0	0	0
Ucp1	1	5	1	1	1	2	1	0
Ucp2	11675	12042	7497	7314	9717	10586	11253	10924
Ucp3	3	1	2	1	1	8	3	0
Uevld	47	27	22	46	46	36	84	69
Ufc1	326	448	198	296	397	524	432	416
Ufd1	330	439	226	261	352	361	503	429
Ufl1	247	357	203	292	355	282	472	419
Ufm1	267	260	179	192	294	302	301	364
Ufsp1	3	12	2	3	10	9	14	13
Ufsp2	525	574	341	418	514	785	720	705
Ugcg	115	132	89	87	121	150	104	163
Ugdh	147	258	105	99	132	147	184	173
Uggt1	1039	1043	557	722	971	460	922	1067
Uggt2	5	31	6	8	3	8	16	13
Ugp2	696	767	439	433	667	702	762	799
Ugt1a1	3	1	0	0	1	2	1	2
Ugt1a10	0	1	0	1	0	0	0	0
Ugt1a2	6	27	3	12	5	2	7	23
Ugt1a5	14	35	13	26	28	15	26	33
Ugt1a6a	39	34	34	54	30	21	30	56
Ugt1a6b	18	10	6	3	10	7	2	7
Ugt1a7c	657	671	353	390	437	613	754	689
Ugt1a8	0	7	7	1	0	0	6	0
Ugt1a9	0	4	0	0	0	1	2	0
Ugt2a1	0	0	0	2	0	0	0	0
Ugt2a2	0	0	0	2	0	0	0	0
Ugt2a3	3	3	0	0	0	0	3	2
Ugt2b1	5	6	5	0	1	0	1	6
Ugt2b34	1	1	4	0	2	0	0	3
Ugt2b35	0	2	0	0	1	0	0	0
Ugt2b36	3	5	5	0	1	0	2	2
Ugt2b37	0	3	1	2	0	0	1	0
Ugt2b38	0	3	1	3	0	0	1	1
Ugt2b5	4	0	0	3	4	0	2	2
Ugt3a1	3	0	4	3	3	0	1	7
Ugt3a2	2	0	0	1	4	3	0	3
Ugt8a	1	7	4	10	6	4	2	7
Uhmk1	274	240	185	172	269	186	256	285
Uhrf1	12	4	4	1	5	9	13	35
Uhrf1bp1	47	69	56	66	52	61	92	83
Uhrf1bp1l	743	915	453	574	711	711	684	699
Uhrf2	171	214	135	113	201	199	152	208
Uimc1	653	626	370	427	538	508	580	627
Ulbp1	11	26	9	5	30	31	8	13
Ulk1	80	115	118	78	123	202	124	130
Ulk2	114	160	74	75	142	113	153	177
Ulk3	88	146	80	75	88	71	123	133
Ulk4	7	9	7	4	4	10	17	19
Umad1	145	187	141	160	157	215	129	161
Umod	3	0	1	3	5	0	1	1
Umodl1	5	5	0	1	7	0	3	3
Umps	289	256	180	216	171	233	235	254
Unc119	100	134	90	54	82	106	143	120
Unc119b	292	477	269	292	508	237	218	253
Unc13a	37	43	20	27	28	19	30	25
Unc13b	19	32	12	23	67	13	26	22
Unc13c	3	12	4	3	8	2	4	11
Unc13d	361	373	269	251	314	214	244	302
Unc45a	251	258	90	155	169	206	183	241
Unc45b	10	9	4	0	5	3	5	7
Unc50	441	513	350	426	514	622	628	580
Unc5a	6	3	1	0	6	3	5	2
Unc5b	6	0	0	1	8	2	3	5
Unc5c	22	17	9	8	26	3	22	8
Unc5cl	6	1	0	1	3	0	3	4
Unc5d	13	5	10	4	3	4	11	10
Unc79	26	14	9	8	34	7	17	8
Unc80	19	18	10	9	19	6	5	7
Unc93a	0	0	0	0	0	3	0	0
Unc93b1	4955	6768	5000	4831	6164	4654	6129	6088
Uncx	0	0	0	0	0	0	1	0
Ung	1	10	1	4	6	5	3	9
Unk	174	245	110	128	143	135	152	174
Unkl	61	97	54	41	47	14	29	64
Uox	3	6	3	6	1	1	0	5
Upb1	17	91	9	20	19	8	4	5
Upf1	80	126	44	61	155	86	79	101
Upf2	131	201	114	137	153	82	144	155
Upf3a	185	230	208	101	225	214	193	152
Upf3b	97	119	73	67	92	101	132	119
Upk1a	1	2	0	0	5	0	6	0
Upk1b	0	10	2	0	4	7	1	1
Upk2	0	1	1	0	1	0	0	0
Upk3a	2	0	0	0	1	1	0	1
Upk3b	7	0	1	0	1	0	0	0
Upk3bl	1	0	2	0	1	0	1	1
Upp1	6	9	9	4	23	31	22	31
Upp2	6	3	6	1	10	2	2	2
Uprt	75	137	43	71	84	117	90	61
Uqcc1	144	187	124	114	163	186	135	218
Uqcc2	111	117	63	70	83	147	91	93
Uqcc3	142	190	90	91	125	178	125	138
Uqcr10	166	208	112	103	152	259	152	150
Uqcr11	185	158	77	101	143	287	111	175
Uqcrb	198	230	158	187	230	350	227	258
Uqcrc1	497	637	391	399	523	677	536	656
Uqcrc2	624	786	486	473	710	853	802	851
Uqcrfs1	929	1499	933	1050	1259	1763	1243	1421
Uqcrh	919	1167	705	846	934	1357	817	1052
Uqcrq	335	465	208	266	307	534	306	379
Urad	0	1	0	0	0	0	0	0
Urah	0	0	0	0	2	0	1	0
Urb1	116	110	55	49	122	48	147	102
Urb2	58	84	33	52	74	38	89	87
Urgcp	199	222	145	166	207	115	130	203
Uri1	75	197	93	56	83	112	89	65
Urm1	20	61	23	22	29	22	42	40
Uroc1	3	6	5	3	2	0	1	9
Urod	258	273	145	169	220	314	246	294
Uros	126	129	78	56	74	123	72	88
Usb1	356	422	265	272	379	461	366	449
Use1	639	887	452	609	685	952	748	823
Usf1	841	615	515	519	701	794	687	813
Usf2	96	120	73	70	83	109	139	102
Usf3	333	366	226	311	382	306	297	327
Ush1c	0	4	1	0	4	2	2	2
Ush1g	0	0	0	0	0	0	0	0
Ush2a	30	18	17	9	35	8	13	15
Ushbp1	4	27	8	10	32	13	5	10
Usmg5	89	113	71	76	99	154	88	97
Uso1	164	261	174	136	250	266	221	245
Usp1	50	88	61	48	84	66	54	36
Usp10	211	246	133	162	206	188	183	282
Usp11	12	14	15	29	18	11	2	13
Usp12	284	330	320	256	355	221	245	247
Usp13	9	12	2	1	8	5	7	13
Usp14	433	520	280	381	455	566	625	629
Usp15	707	1036	571	694	879	665	783	887
Usp16	269	321	213	215	295	351	286	335
Usp17la	0	2	2	0	3	0	1	0
Usp17lb	4	1	0	2	0	3	0	0
Usp17lc	0	0	0	0	3	0	0	2
Usp17ld	0	0	1	0	0	0	1	0
Usp17le	3	0	0	0	0	0	3	2
Usp18	279	522	307	320	328	331	123	216
Usp19	469	689	343	328	491	266	460	499
Usp2	15	22	2	8	12	46	36	37
Usp20	59	98	30	30	52	32	48	103
Usp21	171	216	126	153	201	160	169	197
Usp22	447	487	249	281	422	230	446	483
Usp24	149	274	112	142	204	168	210	209
Usp25	478	659	367	406	534	513	380	415
Usp26	10	5	1	3	6	3	2	0
Usp27x	16	1	1	0	1	0	3	1
Usp28	90	128	71	127	116	54	137	103
Usp29	9	12	4	5	11	5	11	16
Usp3	777	1019	700	759	897	798	952	976
Usp30	21	26	19	16	24	24	32	37
Usp31	61	111	60	55	66	47	94	88
Usp32	372	494	274	312	389	428	362	313
Usp33	260	354	200	210	315	161	325	289
Usp34	398	502	232	251	468	281	326	420
Usp35	92	113	33	44	67	41	68	52
Usp36	159	162	96	92	137	157	213	204
Usp37	167	241	153	154	251	240	200	381
Usp38	228	337	207	311	332	215	318	409
Usp39	62	96	46	65	61	85	73	77
Usp4	1145	1496	760	929	1248	620	1194	1307
Usp40	179	211	178	139	182	102	199	260
Usp42	72	94	47	81	57	68	91	99
Usp43	12	2	2	0	4	1	4	6
Usp44	5	3	2	3	2	0	2	8
Usp45	336	401	281	340	291	178	306	346
Usp46	64	75	32	22	56	30	63	95
Usp47	824	940	618	599	796	479	817	927
Usp48	690	836	450	484	624	407	744	591
Usp49	6	6	3	5	20	11	7	8
Usp5	581	716	407	485	599	573	632	679
Usp50	36	48	55	36	65	60	78	50
Usp51	0	0	2	0	0	0	0	0
Usp53	47	94	31	37	52	37	75	85
Usp54	32	30	7	20	39	41	35	47
Usp6nl	254	220	192	165	251	217	249	313
Usp7	344	460	227	259	390	388	351	444
Usp8	1174	1317	839	893	1107	547	1006	1314
Usp9x	513	649	329	324	538	354	549	600
Usp9y	0	6	2	6	1	0	5	5
Uspl1	252	300	178	200	349	222	180	314
Ust	8	15	8	7	10	3	0	25
Utf1	0	0	0	0	0	0	0	0
Utp11	221	192	118	169	133	211	147	185
Utp14a	219	246	177	194	286	238	291	284
Utp14b	11	24	8	13	20	13	7	22
Utp15	202	308	127	162	216	149	331	313
Utp18	75	284	125	64	186	133	153	104
Utp20	113	116	61	93	140	81	184	148
Utp23	63	59	46	51	62	103	62	52
Utp3	370	399	280	259	395	464	412	404
Utp4	101	170	83	65	170	161	207	232
Utp6	153	207	111	158	189	158	215	227
Utrn	670	911	503	550	694	441	351	474
Uts2	2	0	1	2	0	0	0	0
Uts2b	1	1	1	1	1	0	1	0
Uts2r	0	0	0	0	1	1	0	0
Uty	233	276	155	191	210	100	171	238
Uvrag	910	1137	785	508	1062	999	793	638
Uvssa	172	260	171	204	232	153	227	242
Uxs1	180	193	127	134	181	233	258	219
Uxt	23	44	13	9	21	15	29	8
V1ra8	0	0	1	0	1	1	0	2
V1rd19	1	0	0	1	1	0	1	0
Vac14	148	171	65	92	144	132	110	134
Vamp1	243	215	132	193	152	91	149	209
Vamp2	188	170	110	92	134	216	160	129
Vamp3	836	1195	759	777	932	1319	1260	987
Vamp4	386	619	323	357	446	705	555	598
Vamp5	10	5	3	3	3	4	1	2
Vamp7	258	347	215	282	307	427	358	388
Vamp8	88	125	66	64	81	152	81	104
Vangl1	1	3	3	4	12	3	3	3
Vangl2	21	79	17	34	33	7	20	10
Vapa	1335	1717	1047	810	1471	1443	1763	1233
Vapb	78	90	49	22	57	127	18	41
Vars	660	870	456	540	785	366	573	681
Vars2	24	46	15	14	29	10	24	41
Vash1	0	0	1	0	1	3	1	1
Vash2	4	0	1	2	25	3	0	9
Vasn	48	34	17	29	29	14	35	39
Vasp	152	159	103	103	170	257	162	169
Vat1	10	58	22	10	21	30	34	23
Vat1l	1	2	2	0	7	0	8	0
Vav1	1780	1888	945	1338	1611	1602	1835	2148
Vav2	92	110	86	45	143	99	47	109
Vav3	179	257	212	193	209	215	236	245
Vax1	0	0	0	0	0	0	0	2
Vax2	0	1	0	0	0	0	0	0
Vbp1	591	804	437	565	662	837	676	662
Vcam1	20	8	11	17	35	92	17	13
Vcan	3839	1180	557	967	804	3254	8959	9018
Vcl	388	493	294	363	381	173	347	361
Vcp	316	380	184	239	297	346	363	409
Vcpip1	567	841	528	551	701	357	495	686
Vcpkmt	55	87	37	53	66	69	53	105
Vdac1	329	453	207	259	390	614	458	518
Vdac2	1056	1395	752	930	1248	1556	1549	1373
Vdac3	283	366	231	238	279	336	276	312
Vdr	36	28	3	26	41	80	155	229
Vegfa	1	2	0	0	4	36	24	10
Vegfb	5	1	1	0	9	8	0	6
Vegfc	4	15	6	8	17	5	2	6
Vegfd	7	0	0	1	0	5	4	1
Veph1	4	15	1	0	7	0	9	2
Vezf1	11	29	13	24	24	20	15	20
Vezt	69	124	85	115	122	105	162	145
Vgf	0	0	0	0	1	0	0	0
Vgll1	2	1	3	0	3	0	0	0
Vgll2	0	0	0	1	1	0	0	0
Vgll3	3	5	0	6	8	1	11	4
Vgll4	221	211	163	139	228	243	221	305
Vhl	346	402	253	221	393	198	337	334
Vil1	0	7	1	3	1	0	3	6
Vill	601	630	256	295	413	604	674	671
Vim	15466	14371	12335	12341	17358	24163	18433	19251
Vip	0	2	0	7	3	0	6	3
Vipas39	321	383	187	216	262	304	364	375
Vipr1	3	1	2	0	8	2	14	4
Vipr2	13	11	9	5	4	2	1	6
Virma	347	477	291	317	384	152	503	480
Vit	0	0	1	0	3	0	4	1
Vkorc1	13	9	9	3	7	8	5	16
Vkorc1l1	81	135	44	58	85	56	90	99
Vldlr	7	27	5	3	8	5	23	17
Vma21	143	143	111	107	122	207	166	199
Vma21-ps	1	0	0	1	1	1	0	0
Vmac	28	19	10	35	46	23	38	31
Vmn1r1	6	1	0	2	4	1	0	0
Vmn1r10	0	0	0	0	0	0	0	1
Vmn1r100	0	0	0	0	0	0	0	0
Vmn1r101	0	0	0	0	0	0	0	0
Vmn1r103	0	0	0	0	0	0	0	0
Vmn1r104	0	0	0	0	0	0	0	0
Vmn1r107	0	0	0	0	0	0	0	0
Vmn1r11	9	8	3	1	4	0	0	2
Vmn1r111	0	0	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0	0	0
Vmn1r113	0	3	0	0	0	0	0	1
Vmn1r114	0	0	0	0	0	0	0	0
Vmn1r115	0	0	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0	0	0
Vmn1r118	0	0	0	0	0	0	0	0
Vmn1r119	0	0	0	0	1	0	0	0
Vmn1r12	0	13	0	1	7	1	3	4
Vmn1r120	0	3	0	0	1	0	0	0
Vmn1r121	0	4	0	0	0	0	0	0
Vmn1r122	0	0	0	0	1	0	0	1
Vmn1r123	0	0	0	0	0	0	0	0
Vmn1r124	0	0	0	1	0	0	0	2
Vmn1r125	1	0	0	0	0	0	0	0
Vmn1r126	0	0	0	0	0	0	0	0
Vmn1r127	0	0	0	0	0	0	0	0
Vmn1r128	0	2	0	0	0	0	0	0
Vmn1r129	0	0	0	1	0	0	0	0
Vmn1r13	5	7	4	2	1	4	1	10
Vmn1r130	0	0	0	0	0	0	0	0
Vmn1r131	0	0	0	0	0	0	0	0
Vmn1r132	0	0	0	0	0	0	0	0
Vmn1r135	0	0	0	0	0	0	0	0
Vmn1r137	0	0	0	0	0	0	0	0
Vmn1r138	0	0	0	0	0	0	0	0
Vmn1r139	0	0	0	0	0	0	0	0
Vmn1r14	14	0	0	7	2	3	0	6
Vmn1r142	0	0	0	0	0	0	0	0
Vmn1r143	0	0	0	0	0	0	0	1
Vmn1r148	0	0	0	0	0	0	0	0
Vmn1r149	0	0	0	0	0	0	0	0
Vmn1r15	1	0	1	1	1	2	1	1
Vmn1r151	0	0	0	0	0	0	0	0
Vmn1r152	0	0	0	0	0	0	0	0
Vmn1r155	0	0	0	0	0	0	0	0
Vmn1r157	0	0	0	0	0	0	2	0
Vmn1r158	1	1	0	3	0	5	1	0
Vmn1r159	0	0	1	0	0	0	0	0
Vmn1r16	10	2	1	2	9	0	5	8
Vmn1r160	0	0	0	0	3	0	0	0
Vmn1r163	0	0	0	0	0	0	0	0
Vmn1r165	0	0	0	0	0	0	0	0
Vmn1r166	0	0	0	0	0	0	0	0
Vmn1r167	0	3	2	0	3	4	0	0
Vmn1r168	0	0	0	0	0	0	0	0
Vmn1r169	3	5	0	0	1	0	6	0
Vmn1r17	0	0	0	1	0	0	1	1
Vmn1r170	0	0	0	0	0	0	0	0
Vmn1r171	3	1	2	0	1	1	1	4
Vmn1r172	7	1	1	0	7	0	12	1
Vmn1r173	2	3	2	5	4	0	7	12
Vmn1r174	1	6	5	3	2	3	7	6
Vmn1r175	0	0	0	1	0	0	0	0
Vmn1r176	1	0	1	1	3	0	5	0
Vmn1r177	0	0	0	1	0	0	0	0
Vmn1r178	0	4	0	3	3	0	4	0
Vmn1r179	0	1	0	0	2	0	0	1
Vmn1r18	10	3	4	6	4	3	2	5
Vmn1r180	1	4	1	0	0	0	0	2
Vmn1r181	3	8	1	0	4	0	3	3
Vmn1r183	0	0	0	0	0	0	0	0
Vmn1r184	8	4	2	5	12	2	0	12
Vmn1r185	16	1	5	5	6	4	3	9
Vmn1r188	5	5	0	2	5	0	2	0
Vmn1r189	3	0	0	0	3	4	6	0
Vmn1r19	1	0	0	0	5	0	0	1
Vmn1r191	0	1	0	0	2	0	0	0
Vmn1r192	1	0	2	0	2	0	1	0
Vmn1r193	15	0	5	3	8	6	8	3
Vmn1r194	1	1	0	0	0	0	1	0
Vmn1r195	3	0	2	0	11	1	6	0
Vmn1r196	4	4	1	0	4	1	10	2
Vmn1r197	1	0	0	1	12	0	0	5
Vmn1r198	2	7	5	2	15	10	7	7
Vmn1r199	4	13	5	4	11	0	6	7
Vmn1r2	1	0	0	0	0	0	0	1
Vmn1r20	1	1	1	2	4	3	0	0
Vmn1r200	3	9	0	0	4	16	3	4
Vmn1r201	2	16	6	7	5	5	3	18
Vmn1r202	3	0	1	2	4	0	0	17
Vmn1r203	1	8	9	8	19	1	4	13
Vmn1r204	1	1	0	0	2	4	1	2
Vmn1r205	0	0	0	0	0	0	1	0
Vmn1r206	1	0	0	0	4	1	2	1
Vmn1r208	2	0	0	1	1	0	0	0
Vmn1r209	4	0	1	2	3	0	4	0
Vmn1r21	13	4	4	2	1	0	0	7
Vmn1r210	0	1	1	0	1	0	4	0
Vmn1r211	2	0	0	4	0	2	0	1
Vmn1r212	0	0	0	0	1	0	0	0
Vmn1r213	4	2	3	3	6	0	1	3
Vmn1r214	0	1	6	1	14	5	2	19
Vmn1r215	2	6	1	0	2	0	0	7
Vmn1r216	15	2	1	3	7	0	0	6
Vmn1r217	2	2	1	0	4	2	5	7
Vmn1r218	9	10	2	0	5	1	8	5
Vmn1r219	9	11	8	1	9	0	9	0
Vmn1r22	4	0	3	3	5	6	2	3
Vmn1r220	1	2	5	4	11	0	2	4
Vmn1r222	0	0	0	1	0	0	0	1
Vmn1r223	0	0	0	3	2	0	0	0
Vmn1r224	0	0	2	0	1	0	2	0
Vmn1r225	0	0	0	0	6	0	0	0
Vmn1r226	0	1	0	0	1	0	1	2
Vmn1r228	1	0	1	4	3	2	5	3
Vmn1r229	0	2	2	0	0	0	0	0
Vmn1r23	0	0	0	0	0	0	1	1
Vmn1r230	0	5	1	0	0	0	2	4
Vmn1r231	7	0	0	0	1	0	0	4
Vmn1r232	2	1	0	2	0	0	1	1
Vmn1r233	0	2	0	2	2	0	0	0
Vmn1r234	1	2	0	1	0	0	0	0
Vmn1r235	3	0	4	0	4	7	0	6
Vmn1r236	0	7	0	0	2	1	0	0
Vmn1r237	0	0	5	0	2	0	3	1
Vmn1r238	0	0	0	0	0	1	0	0
Vmn1r24	0	3	5	0	2	4	0	2
Vmn1r25	0	0	1	2	1	0	1	0
Vmn1r26	1	0	0	2	10	0	4	15
Vmn1r27	2	0	0	0	1	4	0	2
Vmn1r28	5	12	3	3	24	2	7	7
Vmn1r29	3	0	1	1	8	6	4	2
Vmn1r3	0	0	0	0	1	0	0	0
Vmn1r30	2	2	2	0	0	0	0	0
Vmn1r31	1	3	5	0	1	0	0	0
Vmn1r32	0	0	2	2	0	2	1	3
Vmn1r33	0	0	1	1	3	0	0	1
Vmn1r34	3	3	3	3	3	1	4	3
Vmn1r35	5	0	1	1	0	0	1	1
Vmn1r36	2	1	0	2	0	0	1	1
Vmn1r37	1	1	0	0	1	0	0	3
Vmn1r38	2	1	0	1	5	3	0	2
Vmn1r39	0	0	0	3	0	0	0	1
Vmn1r4	1	1	2	1	5	2	2	10
Vmn1r40	1	0	3	0	2	2	2	4
Vmn1r41	0	0	1	0	0	4	0	0
Vmn1r42	7	1	0	2	3	0	1	1
Vmn1r43	17	12	8	2	17	0	16	22
Vmn1r44	1	2	1	0	3	0	3	2
Vmn1r45	6	5	1	0	2	0	6	3
Vmn1r46	12	4	1	8	11	2	22	2
Vmn1r47	0	1	0	0	12	0	1	0
Vmn1r48	2	0	0	0	2	0	0	0
Vmn1r49	12	2	3	1	14	3	2	1
Vmn1r5	2	1	3	0	1	1	1	1
Vmn1r50	8	1	1	0	5	0	0	4
Vmn1r51	14	9	8	1	2	0	9	0
Vmn1r52	0	13	1	4	2	0	4	0
Vmn1r53	0	0	0	0	1	0	0	0
Vmn1r54	9	3	6	5	9	5	3	0
Vmn1r55	0	0	0	1	0	1	0	0
Vmn1r56	0	0	0	0	4	0	0	0
Vmn1r57	5	5	1	2	14	0	1	2
Vmn1r58	5	7	11	0	12	5	7	14
Vmn1r59	2	0	0	2	0	1	0	0
Vmn1r6	16	3	10	1	7	4	3	1
Vmn1r60	0	0	0	4	0	0	0	2
Vmn1r61	0	0	1	1	1	0	1	0
Vmn1r62	0	0	0	0	0	0	0	0
Vmn1r63	0	0	0	0	0	0	0	0
Vmn1r64	10	3	0	2	0	1	3	1
Vmn1r65	5	0	0	0	0	0	0	0
Vmn1r66	13	0	7	6	9	2	2	1
Vmn1r67	6	1	2	1	6	1	2	8
Vmn1r68	1	2	2	4	1	0	1	0
Vmn1r69	3	6	0	1	7	0	3	0
Vmn1r7	2	0	0	0	2	0	0	2
Vmn1r70	0	0	11	0	3	0	7	6
Vmn1r71	15	2	3	10	13	2	9	16
Vmn1r72	0	2	4	0	15	2	0	3
Vmn1r73	20	8	8	3	8	3	4	17
Vmn1r74	36	5	7	5	18	0	24	35
Vmn1r75	18	11	5	6	15	5	13	19
Vmn1r76	8	3	7	4	27	2	9	2
Vmn1r77	9	3	2	4	6	0	5	4
Vmn1r78	5	8	4	13	6	1	4	4
Vmn1r79	24	4	6	2	4	3	1	9
Vmn1r8	0	2	0	6	1	0	3	0
Vmn1r80	13	17	5	7	19	4	15	19
Vmn1r81	10	15	2	4	17	5	1	18
Vmn1r82	9	5	0	12	3	4	2	2
Vmn1r83	7	5	2	0	3	0	0	2
Vmn1r84	0	3	7	7	6	0	3	1
Vmn1r85	2	0	3	0	0	0	4	0
Vmn1r86	8	5	6	5	4	4	15	1
Vmn1r87	7	8	0	1	2	1	4	1
Vmn1r88	3	0	0	0	2	0	1	0
Vmn1r89	2	3	0	4	0	0	2	3
Vmn1r9	2	4	0	1	10	0	3	12
Vmn1r90	5	5	0	0	5	0	1	4
Vmn1r91	1	0	0	0	2	0	0	0
Vmn1r93	0	0	0	0	0	0	0	0
Vmn1r94	0	1	0	0	0	0	0	0
Vmn1r95	0	0	0	0	0	0	0	0
Vmn2r-ps130	0	0	0	0	0	0	0	1
Vmn2r1	2	4	4	2	7	0	3	7
Vmn2r10	11	8	2	2	6	6	2	3
Vmn2r100	3	3	0	8	7	0	2	5
Vmn2r101	9	1	1	4	2	0	5	1
Vmn2r102	5	5	1	0	1	0	5	1
Vmn2r103	1	0	0	4	1	1	2	5
Vmn2r104	2	3	2	1	14	4	10	0
Vmn2r105	0	11	0	4	6	0	2	8
Vmn2r106	3	0	0	2	3	0	3	5
Vmn2r107	4	1	6	1	1	1	2	4
Vmn2r108	7	1	0	2	2	0	7	3
Vmn2r109	9	6	4	1	5	4	5	11
Vmn2r11	1	3	3	0	2	0	2	3
Vmn2r110	3	6	2	0	0	0	0	2
Vmn2r111	3	4	3	5	0	0	4	1
Vmn2r112	2	1	2	3	0	0	4	10
Vmn2r113	0	0	0	0	0	0	0	0
Vmn2r114	1	0	1	3	2	0	3	1
Vmn2r115	6	0	6	0	3	0	3	8
Vmn2r116	3	0	0	1	6	2	4	1
Vmn2r117	5	1	0	0	1	1	1	3
Vmn2r118	0	0	0	0	0	0	0	0
Vmn2r12	10	2	2	3	0	0	0	2
Vmn2r120	4	1	1	4	4	0	0	2
Vmn2r121	2	0	0	3	1	1	1	0
Vmn2r122	2	3	0	2	2	1	3	1
Vmn2r124	6	5	1	2	5	0	2	2
Vmn2r125	0	0	0	0	0	0	0	2
Vmn2r13	0	3	0	0	0	0	2	2
Vmn2r14	1	5	0	3	0	0	1	0
Vmn2r15	7	6	0	5	0	1	0	4
Vmn2r16	5	2	3	2	1	2	0	5
Vmn2r17	11	2	0	0	3	0	0	0
Vmn2r18	7	2	0	1	6	0	0	1
Vmn2r19	1	2	1	4	6	0	2	0
Vmn2r2	15	0	1	2	5	1	0	3
Vmn2r20	0	0	2	0	1	0	1	0
Vmn2r21	0	0	0	0	0	0	0	0
Vmn2r22	0	1	0	1	0	0	0	0
Vmn2r23	8	0	3	0	4	1	1	4
Vmn2r24	0	1	4	4	1	0	1	9
Vmn2r25	2	4	0	1	1	1	3	1
Vmn2r26	6	1	0	0	0	0	25	1
Vmn2r27	4	7	7	3	2	2	2	9
Vmn2r28	0	4	2	0	3	0	0	0
Vmn2r29	2	0	0	0	0	0	0	1
Vmn2r3	2	2	2	4	3	1	0	0
Vmn2r30	1	0	1	0	0	0	0	0
Vmn2r31	1	0	0	1	1	0	0	0
Vmn2r32	1	1	1	1	0	0	0	0
Vmn2r33	2	0	0	0	0	0	0	0
Vmn2r34	0	0	0	0	0	0	0	0
Vmn2r35	0	2	0	1	0	0	0	0
Vmn2r36	0	0	0	1	0	0	0	0
Vmn2r37	0	0	0	0	0	0	0	0
Vmn2r38	1	1	2	1	0	0	0	0
Vmn2r39	2	0	1	1	2	0	0	2
Vmn2r4	1	1	1	0	3	1	0	1
Vmn2r40	0	0	0	1	0	0	0	0
Vmn2r41	2	0	0	1	0	0	0	0
Vmn2r42	0	0	0	1	0	0	0	0
Vmn2r43	1	0	0	4	1	0	0	1
Vmn2r44	3	0	2	1	0	0	1	1
Vmn2r45	0	3	1	1	0	0	3	2
Vmn2r46	0	0	0	0	0	0	0	0
Vmn2r47	0	0	0	0	0	0	0	0
Vmn2r48	1	0	1	0	0	0	0	0
Vmn2r49	0	0	0	0	1	2	0	0
Vmn2r5	0	0	0	0	2	0	0	0
Vmn2r50	4	0	0	1	2	0	1	1
Vmn2r51	2	2	2	2	2	0	2	6
Vmn2r52	2	2	0	3	2	0	1	0
Vmn2r53	0	0	0	0	6	0	0	1
Vmn2r54	0	3	0	0	2	0	1	0
Vmn2r55	0	5	1	0	0	0	0	0
Vmn2r56	0	1	1	0	5	0	0	1
Vmn2r57	0	0	0	0	0	0	0	1
Vmn2r58	5	0	2	1	3	0	2	4
Vmn2r59	13	5	9	4	3	2	1	6
Vmn2r6	0	0	0	1	1	0	2	0
Vmn2r60	0	1	2	1	1	0	5	1
Vmn2r61	1	0	0	6	4	0	1	0
Vmn2r62	0	0	1	0	0	0	0	0
Vmn2r63	6	4	0	4	4	2	1	0
Vmn2r65	5	1	3	2	3	2	13	2
Vmn2r66	9	0	3	2	5	0	3	1
Vmn2r67	5	4	1	3	5	0	3	7
Vmn2r68	0	1	1	0	10	1	1	4
Vmn2r69	7	2	0	3	4	0	1	1
Vmn2r7	1	0	0	1	4	0	0	1
Vmn2r70	1	6	5	1	1	0	2	3
Vmn2r71	19	3	5	4	3	0	2	4
Vmn2r72	9	0	3	2	0	0	2	2
Vmn2r73	2	1	0	0	0	0	2	0
Vmn2r74	4	5	3	2	4	1	10	5
Vmn2r75	12	2	1	1	0	0	1	4
Vmn2r76	7	2	3	1	7	0	3	7
Vmn2r77	0	1	1	5	6	0	5	4
Vmn2r78	5	0	4	7	5	1	2	5
Vmn2r79	11	0	1	2	6	0	2	10
Vmn2r8	6	1	4	1	2	0	3	0
Vmn2r80	0	2	2	0	4	3	2	2
Vmn2r81	2	2	0	3	3	1	8	2
Vmn2r82	5	0	3	3	3	0	1	0
Vmn2r83	6	0	1	1	1	4	0	0
Vmn2r84	5	2	1	1	5	2	1	1
Vmn2r85	0	2	3	4	12	0	1	0
Vmn2r86	0	2	5	4	3	1	2	4
Vmn2r87	1	4	0	2	7	0	6	1
Vmn2r88	11	1	4	6	5	0	4	4
Vmn2r89	3	0	2	7	4	2	2	2
Vmn2r9	3	3	1	4	4	1	3	1
Vmn2r90	2	6	0	2	3	0	1	2
Vmn2r91	1	2	1	0	1	0	1	1
Vmn2r92	0	1	1	0	4	1	0	1
Vmn2r93	1	0	4	0	3	0	5	2
Vmn2r94	7	1	1	0	5	0	1	5
Vmn2r95	9	9	7	3	6	0	4	2
Vmn2r96	1	4	0	0	2	0	0	1
Vmn2r97	4	4	3	1	6	0	2	0
Vmn2r98	7	6	3	3	4	0	1	3
Vmn2r99	7	2	0	3	0	0	0	0
Vmo1	0	0	0	0	0	0	0	0
Vmp1	1727	1378	782	1018	906	2529	1888	1910
Vnn1	4	2	0	0	1	2	8	6
